,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Num,Side,Missing_Cabin,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
2333,0.0,-0.057742864,0.0,-0.34058988,-0.2528171,-0.29081702,0.3066493,-0.26902264,-1.141624,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2589,0.0,-0.8249227,0.0,-0.34058988,0.46221086,-0.23892403,-0.27666342,-0.26902264,-0.022621492,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8302,1.0,-0.057742864,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.50135994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8177,0.0,-0.6156918,0.0,6.811503e-09,-0.28605962,0.19295965,0.59119207,-0.26902264,2.3613403,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
500,1.0,0.50020605,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-1.1065943,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7203,0.0,0.5699497,0.0,1.1752474,-0.28731406,-0.15689962,-0.24109556,-0.26902264,1.974068,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
437,1.0,-0.2669737,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,5.235557e-09,-0.9742601,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6569,1.0,0.22123161,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,1.0418904,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7457,1.0,0.22123161,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.6336941,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7655,0.0,-0.5459482,0.0,0.6356093,-0.28731406,-0.29081702,-0.27666342,-0.26725772,1.8962244,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2651,0.0,0.7791805,1.0,-0.34058988,-0.28041464,-0.29081702,1.6840142,0.87376505,-0.93728435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6720,0.0,-0.9644099,0.0,-0.34058988,0.095288634,0.15613236,-1.26050415e-08,-0.26902264,1.7171841,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5861,0.0,0.15148799,0.0,1.0464013,-0.28731406,1.9071027,0.052339174,-0.26902264,1.3454806,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7736,0.0,0.84892416,0.0,0.2596817,-0.28731406,0.80228394,-0.27666342,-0.26902264,-0.11214169,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4456,0.0,0.08174437,0.0,0.46431974,0.21885048,-0.23222816,-0.09882418,-0.26902264,0.5962355,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1916,0.0,0.22123161,0.0,-0.34058988,-0.25093544,-0.29081702,-0.27666342,0.2975177,-0.49941382,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3260,0.0,0.6396933,1.0,-0.24054462,-0.28731406,1.368085,-0.27666342,-0.26902264,-0.9217156,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2183,1.0,-0.12748648,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.40989366,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
8223,0.0,-1.7315897,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,1.6159873,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
7548,0.0,-0.6156918,0.0,-0.34058988,-0.25469872,-0.29081702,-0.17885184,0.27280876,1.8650869,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8436,0.0,1.1278986,0.0,-0.3375582,-0.07531452,0.22309107,-0.21975486,-0.26902264,2.2562513,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5260,0.0,1.1976422,0.0,-0.34058988,1.8935212,-0.29081702,-0.2757742,4.6224613,-0.8088423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1039,0.0,2.0345657,0.0,-0.25721884,-0.28731406,0.97470254,-0.057921156,-0.18077648,-0.7309987,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3745,1.0,-1.871077,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,0.14279626,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3487,1.0,1.1278986,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.91003907,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4362,0.0,-1.1038971,0.0,-0.32846317,0.5813822,2.1280665,-0.054364372,-0.26196295,0.55536765,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6314,1.0,0.22123161,0.0,6.811503e-09,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.31258908,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5798,0.0,-1.1629966e-09,0.0,0.017147731,0.15111099,0.26494026,-0.24909833,-0.26902264,-0.3515109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5273,0.0,-0.47620457,0.0,0.8781433,-0.28731406,0.3419428,-0.27666342,-0.26902264,-0.45659983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
107,1.0,0.012000752,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-1.1299474,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8282,0.0,-0.6854354,0.0,-0.34058988,-0.28731406,0.9094178,-0.2757742,-0.26902264,-0.014837127,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4338,0.0,0.15148799,0.0,-0.34058988,1.293274,-0.28914306,-0.2757742,-0.26902264,-0.7854892,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1414,0.0,0.08174437,0.0,-0.34058988,0.023158625,4.2987462e-09,-0.27666342,-0.13400602,-0.567527,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
534,1.0,-1.1629966e-09,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,5.235557e-09,-1.1027021,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6380,0.0,-0.057742864,0.0,0.48554143,-0.28731406,0.54784083,-0.27666342,-0.26902264,1.5829037,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8615,1.0,1.0581551,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,2.3204725,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
6510,0.0,-0.75517905,0.0,-0.34058988,-0.27602413,-0.16861738,1.6208813,-0.2469611,1.6354482,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1995,1.0,-0.89466625,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.33205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
585,0.0,-1.5223588,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.95869136,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2266,0.0,-0.6854354,0.0,-0.34058988,-0.28731406,-0.15857358,-1.26050415e-08,-0.26902264,-0.17052442,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8617,0.0,0.7791805,0.0,-0.34058988,0.7626481,-0.29081702,-0.037469644,-0.2654928,-0.48189902,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6688,0.3583058,-0.40646094,0.0,-0.24357629,-0.28480518,-0.29081702,0.7236823,5.235557e-09,1.7055075,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1965,1.0,0.012000752,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.9742601,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7508,1.0,0.43046245,0.0,-0.34058988,-0.28731406,-0.29081702,-0.27666342,-0.26902264,-0.6551011,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
